id,company_name,address,office_street,city,state,zip,country,phone,website,state_chapter,membership_type,engineering_disciplines,acec_member_id,detail_url,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
1,AECOM,"One Federal Street , 8th Floor , Boston , MA 02110 , United States","One Federal Street, 8th Floor",Boston,MA,02110,US,(617) 512-9038,,MA,Regular Member,,aecom-4136560,https://members.acecma.org/fullmemberfirmdirectory/Details/aecom-4136560,acec_engineering_firms,https://members.acecma.org/fullmemberfirmdirectory/FindStartsWith,2026-03-25T11:26:25.275942+00:00,20260325_112244,39712bcacffddfb12aa86e76c69d91eb,2026-03-25 11:26:25,2026-03-25 11:26:25,1
2,"AI Engineers, Inc.","529 Main Street , Suite 310 , Charlestown , MA 02129 , United States","529 Main Street, Suite 310",Charlestown,MA,02129,US,(617) 451-2828 361,https://aiengineers.com/,MA,Regular Member,,ai-engineers-inc-4136564,https://members.acecma.org/fullmemberfirmdirectory/Details/ai-engineers-inc-4136564,acec_engineering_firms,https://members.acecma.org/fullmemberfirmdirectory/FindStartsWith,2026-03-25T11:26:25.275942+00:00,20260325_112244,e9bb831c082a2e64ac03a15111dce33b,2026-03-25 11:26:25,2026-03-25 11:26:25,1
3,"Apex Companies, LLC","1900 Crown Colony Dr , Ste 402 , Quincy , MA 02169-0980 , United States","1900 Crown Colony Dr, Ste 402",Quincy,MA,02169-0980,US,(617) 657-0253,https://apexcos.com/,MA,Regular Member,,apex-companies-llc-4136558,https://members.acecma.org/fullmemberfirmdirectory/Details/apex-companies-llc-4136558,acec_engineering_firms,https://members.acecma.org/fullmemberfirmdirectory/FindStartsWith,2026-03-25T11:26:25.275942+00:00,20260325_112244,2414f894afd2481fd09689a588b90f2f,2026-03-25 11:26:25,2026-03-25 11:26:25,1
4,"Arcadis U.S., Inc.","1 Federal St , 38th Flr , Boston , MA 02110 , United States","1 Federal St, 38th Flr",Boston,MA,02110,US,(617) 896-2500 51613,http://www.arcadis-us.com/,MA,Regular Member,,arcadis-u-s-inc-4136557,https://members.acecma.org/fullmemberfirmdirectory/Details/arcadis-u-s-inc-4136557,acec_engineering_firms,https://members.acecma.org/fullmemberfirmdirectory/FindStartsWith,2026-03-25T11:26:25.275942+00:00,20260325_112244,7bcdff189b2064f644d750db72b328ed,2026-03-25 11:26:25,2026-03-25 11:26:25,1
5,Arora Engineers,"50 Braintree Hill Park , Suite 200 , Braintree , MA 02184 , United States",50,Braintree,MA,02184,US,(857) 264-3582,https://www.aroraengineers.com/,MA,Regular Member,,arora-engineers-4136562,https://members.acecma.org/fullmemberfirmdirectory/Details/arora-engineers-4136562,acec_engineering_firms,https://members.acecma.org/fullmemberfirmdirectory/FindStartsWith,2026-03-25T11:26:25.275942+00:00,20260325_112244,d14a5a52881c3ae9e44968ad9d01a037,2026-03-25 11:26:25,2026-03-25 11:26:25,1
6,Arup,"60 State Street , Boston , MA 02109 , United States",60 State Street,Boston,MA,02109,US,(617) 864-2987,http://www.arup.com/,MA,Regular Member,,arup-4136567,https://members.acecma.org/fullmemberfirmdirectory/Details/arup-4136567,acec_engineering_firms,https://members.acecma.org/fullmemberfirmdirectory/FindStartsWith,2026-03-25T11:26:25.275942+00:00,20260325_112244,86e05579ec2e77c4381e6698b1879b08,2026-03-25 11:26:25,2026-03-25 11:26:25,1
7,ATANE,,,,MA,,US,(617) 778-7300 242,https://ataneconsulting.com/,MA,Regular Member,,atane-4136596,https://members.acecma.org/fullmemberfirmdirectory/Details/atane-4136596,acec_engineering_firms,https://members.acecma.org/fullmemberfirmdirectory/FindStartsWith,2026-03-25T11:26:25.275942+00:00,20260325_112244,e952c278aa0835fe6ac6e267cc25857c,2026-03-25 11:26:25,2026-03-25 11:26:25,1
8,B2Q,"100 Burtt Road , Ste 212 , Andover , MA 01810 , United States","100 Burtt Road, Ste 212",Andover,MA,01810,US,(978) 447-5613,https://www.b2qassociates.com/,MA,Regular Member,,b2q-4194990,https://members.acecma.org/fullmemberfirmdirectory/Details/b2q-4194990,acec_engineering_firms,https://members.acecma.org/fullmemberfirmdirectory/FindStartsWith,2026-03-25T11:26:25.275942+00:00,20260325_112244,c1fba605c26ed1d96d172a52fc9b9729,2026-03-25 11:26:25,2026-03-25 11:26:25,1
9,Bala Consulting Engineers,"52 Temple Pl , Boston , MA 02111-1306 , United States",52 Temple Pl,Boston,MA,02111-1306,US,(617) 470-4988,http://www.tmpeng.com/,MA,Regular Member,,bala-consulting-engineers-4136565,https://members.acecma.org/fullmemberfirmdirectory/Details/bala-consulting-engineers-4136565,acec_engineering_firms,https://members.acecma.org/fullmemberfirmdirectory/FindStartsWith,2026-03-25T11:26:25.275942+00:00,20260325_112244,f97f2d06b57eac6fdcb517abbb04c2df,2026-03-25 11:26:25,2026-03-25 11:26:25,1
10,"Beals and Thomas, Inc.","32 Court Street , Ste 4 , Plymouth , MA 02360 , United States","32 Court Street, Ste 4",Plymouth,MA,02360,US,(508) 330-5050,https://www.bealsandthomas.com/,MA,Regular Member,,beals-and-thomas-inc-4136590,https://members.acecma.org/fullmemberfirmdirectory/Details/beals-and-thomas-inc-4136590,acec_engineering_firms,https://members.acecma.org/fullmemberfirmdirectory/FindStartsWith,2026-03-25T11:26:25.275942+00:00,20260325_112244,8e544670a919154b088a69a8217f41fb,2026-03-25 11:26:25,2026-03-25 11:26:25,1
11,Benesch,"24 Federal St , 6th Floor , Boston , MA 02110 , United States","24 Federal St, 6th Floor",Boston,MA,02110,US,(617) 288-0900,https://www.benesch.com/,MA,Regular Member,,benesch-4136593,https://members.acecma.org/fullmemberfirmdirectory/Details/benesch-4136593,acec_engineering_firms,https://members.acecma.org/fullmemberfirmdirectory/FindStartsWith,2026-03-25T11:26:25.275942+00:00,20260325_112244,3d1d4ac2ccdfece13d87b0ab134fe88f,2026-03-25 11:26:25,2026-03-25 11:26:25,1
12,"BETA Group, Inc.","315 Norwood Park South , Norwood , MA 02062 , United States",315,Norwood,MA,02062,US,(781) 255-1982 7035,https://www.beta-inc.com/,MA,Regular Member,,beta-group-inc-4136598,https://members.acecma.org/fullmemberfirmdirectory/Details/beta-group-inc-4136598,acec_engineering_firms,https://members.acecma.org/fullmemberfirmdirectory/FindStartsWith,2026-03-25T11:26:25.276944+00:00,20260325_112244,8dcb282270d5309cf2b6303a1f47803d,2026-03-25 11:26:25,2026-03-25 11:26:25,1
13,BL Companies,"115 Norwood Park South , Suite 206 , Norwood , MA 02062 , United States",115,Norwood,MA,02062,US,(781) 619-9513,http://www.blcompanies.com/,MA,Regular Member,,bl-companies-4136575,https://members.acecma.org/fullmemberfirmdirectory/Details/bl-companies-4136575,acec_engineering_firms,https://members.acecma.org/fullmemberfirmdirectory/FindStartsWith,2026-03-25T11:26:25.276944+00:00,20260325_112244,0720b7d9f64b9b6684ac50aa7f2c39a4,2026-03-25 11:26:25,2026-03-25 11:26:25,1
14,"Bloom Companies, LLC","265 Franklin Street , Suite 1702 , Boston , MA 02110-3144 , United States","265 Franklin Street, Suite 1702",Boston,MA,02110-3144,US,(617) 963-5178,http://www.bloomcos.com/,MA,Regular Member,,bloom-companies-llc-4136607,https://members.acecma.org/fullmemberfirmdirectory/Details/bloom-companies-llc-4136607,acec_engineering_firms,https://members.acecma.org/fullmemberfirmdirectory/FindStartsWith,2026-03-25T11:26:25.276944+00:00,20260325_112244,8afb80660b4b1ed977c3b416cd117547,2026-03-25 11:26:25,2026-03-25 11:26:25,1
15,Bowman,"20 Winthrop Square , 3rd Floor , Boston , MA 02110 , United States","20 Winthrop Square, 3rd Floor",Boston,MA,02110,US,(617) 556-0020 3007,https://bowman.com/,MA,Regular Member,,bowman-4136577,https://members.acecma.org/fullmemberfirmdirectory/Details/bowman-4136577,acec_engineering_firms,https://members.acecma.org/fullmemberfirmdirectory/FindStartsWith,2026-03-25T11:26:25.276944+00:00,20260325_112244,435ddddaf3d4173c8b3af5eebd8c2a7d,2026-03-25 11:26:25,2026-03-25 11:26:25,1
16,"Bryant Associates, Inc.","90 Canal Street , Suite 301 , Boston , MA 02114-2117 , United States","90 Canal Street, Suite 301",Boston,MA,02114-2117,US,(617) 248-0300,http://www.bryant-engrs.com/,MA,Associate Member,,bryant-associates-inc-4136586,https://members.acecma.org/fullmemberfirmdirectory/Details/bryant-associates-inc-4136586,acec_engineering_firms,https://members.acecma.org/fullmemberfirmdirectory/FindStartsWith,2026-03-25T11:26:25.276944+00:00,20260325_112244,bcd221b4ab64a983c6e4990e66c307da,2026-03-25 11:26:25,2026-03-25 11:26:25,1
