id,company_name,phone,address,member_type,chapter_name,chapter_state,member_detail_url,construction_specialties,website,state,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
1,Acrisure New England,(781) 935-8480,100 Unicorn Park Drive Suite 2 Woburn MA 01801,,AGC Massachusetts,MA,https://members.agcmass.org/list/member/acrisure-new-england-910,Insurance | Associate | Surety,https://vimeo.com/user46359688,MA,agc_member_directory,https://www.agc.org/our-members/find-a-member,2026-03-26T09:31:30.383816+00:00,20260326_090725,00fddfe36da63032a5c72a49c637ecb5,2026-03-26 09:31:30,2026-03-26 09:31:30,1
2,"All Safe Scaffold, Inc.",(508) 866-1111,P.O.BOX 312 ACCORD MA 02018,,AGC Massachusetts,MA,https://members.agcmass.org/list/member/all-safe-scaffold-inc-83,Subcontractors,https://vimeo.com/user46359688,MA,agc_member_directory,https://www.agc.org/our-members/find-a-member,2026-03-26T09:31:30.383816+00:00,20260326_090725,07740126ca386398ea92d83ae0695900,2026-03-26 09:31:30,2026-03-26 09:31:30,1
3,Alliant Insurance,(617) 535-7200,125 High Street Suite 2205 Boston MA 02110,,AGC Massachusetts,MA,https://members.agcmass.org/list/member/alliant-insurance-134,Insurance | Associate,https://vimeo.com/user46359688,MA,agc_member_directory,https://www.agc.org/our-members/find-a-member,2026-03-26T09:31:30.383816+00:00,20260326_090725,f46afd63b53e35c253463623d770584c,2026-03-26 09:31:30,2026-03-26 09:31:30,1
4,American Contractors Corporation,(781) 961-8453,35 North Street Canton MA 02021,,AGC Massachusetts,MA,https://members.agcmass.org/list/member/american-contractors-corporation-891,Div 1 General Requirements | Div 10 Specialties | Div 5 Metals | Subcontractors,https://vimeo.com/user46359688,MA,agc_member_directory,https://www.agc.org/our-members/find-a-member,2026-03-26T09:31:30.383816+00:00,20260326_090725,9e53ea4e82b0120fbdc72435ff729f7d,2026-03-26 09:31:30,2026-03-26 09:31:30,1
5,"American Risk Management, Inc.",(781) 245-1590,591 North Avenue #1 Wakefield MA 01880,,AGC Massachusetts,MA,https://members.agcmass.org/list/member/american-risk-management-inc-wakefield-135,Associate,https://vimeo.com/user46359688,MA,agc_member_directory,https://www.agc.org/our-members/find-a-member,2026-03-26T09:31:30.383816+00:00,20260326_090725,92eff83c3cd85fdfe14b591cc011cfd3,2026-03-26 09:31:30,2026-03-26 09:31:30,1
6,"Antonelli Construction Co., Inc.",(508) 753-7436,21 Adams St Worcester MA 01614,Constructor,AGC Massachusetts,MA,https://members.agcmass.org/list/member/antonelli-construction-co-inc-16,Corporate/Commercial | Education | Industrial | Restaurants Retail,https://vimeo.com/user46359688,MA,agc_member_directory,https://www.agc.org/our-members/find-a-member,2026-03-26T09:31:30.383816+00:00,20260326_090725,ba442b52bd19ed2238795f6687b8cf83,2026-03-26 09:31:30,2026-03-26 09:31:30,1
7,Arthur J. Gallagher & Co.,(800) 333-7234,111 Washington Street Quincy MA 02169,,AGC Massachusetts,MA,https://members.agcmass.org/list/member/arthur-j-gallagher-co-157,Insurance | Surety,https://vimeo.com/user46359688,MA,agc_member_directory,https://www.agc.org/our-members/find-a-member,2026-03-26T09:31:30.383816+00:00,20260326_090725,7ea96c7e7058b144447d8017f34174f3,2026-03-26 09:31:30,2026-03-26 09:31:30,1
8,Associated Building Contractors of Mass (ABCMA),(781) 273-0123,One Wall Street Burlington MA 01803,,AGC Massachusetts,MA,https://members.agcmass.org/list/member/associated-building-contractors-of-mass-abcma-1093,,https://vimeo.com/user46359688,MA,agc_member_directory,https://www.agc.org/our-members/find-a-member,2026-03-26T09:31:30.383816+00:00,20260326_090725,5647f325bc1861cc096b35ea2323cece,2026-03-26 09:31:30,2026-03-26 09:31:30,1
9,"Auburn Construction Co., Inc.",(781) 857-1220,175 Bodwell St. Avon MA 02322,,AGC Massachusetts,MA,https://members.agcmass.org/list/member/auburn-construction-co-inc-17,Education | Constructor | Financial Services | Health Care | Higher Education | Historic Preservation/Restoration | Industrial | Institutional | Laboratories Research Clean Rooms | Public Work | Religious | Restaurants Retail | Sports Facilities Convention Centers | Tenant Fit-outs,https://vimeo.com/user46359688,MA,agc_member_directory,https://www.agc.org/our-members/find-a-member,2026-03-26T09:31:30.383816+00:00,20260326_090725,729addbe3bfd9abe98b4d5f1af55827c,2026-03-26 09:31:30,2026-03-26 09:31:30,1
10,Autodesk,(781) 996-7627,23 Drydock Avenue Suite 610 E Boston MA 02210,,AGC Massachusetts,MA,https://members.agcmass.org/list/member/autodesk-138,Engineering Software | Associate,https://vimeo.com/user46359688,MA,agc_member_directory,https://www.agc.org/our-members/find-a-member,2026-03-26T09:31:30.383816+00:00,20260326_090725,6251ef48fcb5b7e3635b16f25233a3c0,2026-03-26 09:31:30,2026-03-26 09:31:30,1
11,"Accordia Partners, LLC",(857) 990-3039,250 Summer Street Suite 102 Boston MA 02110,,AGC Massachusetts,MA,https://members.agcmass.org/list/member/accordia-partners-llc-10742,,https://vimeo.com/user46359688,MA,agc_member_directory,https://www.agc.org/our-members/find-a-member,2026-03-26T09:31:30.384816+00:00,20260326_090725,a2875034d2007e7d207cbca89d04d8b3,2026-03-26 09:31:30,2026-03-26 09:31:30,1
12,Adams & Ruxton Construction Co,4137342138,600 Union Street West Springfield MA 01089,,AGC Massachusetts,MA,https://members.agcmass.org/list/member/adams-ruxton-construction-co-10350,Constructor,https://vimeo.com/user46359688,MA,agc_member_directory,https://www.agc.org/our-members/find-a-member,2026-03-26T09:31:30.384816+00:00,20260326_090725,7fdea4dc7a54a1089a8570876f1e9016,2026-03-26 09:31:30,2026-03-26 09:31:30,1
13,Advanced Building & Construction Management,(781) 281-9510,75 Augustus Court #1007 Reading MA 01867,,AGC Massachusetts,MA,https://members.agcmass.org/list/member/advanced-building-construction-management-10899,Div 1 General Requirements,https://vimeo.com/user46359688,MA,agc_member_directory,https://www.agc.org/our-members/find-a-member,2026-03-26T09:31:30.384816+00:00,20260326_090725,cbd8354c10d187f15f27c358ab5824e1,2026-03-26 09:31:30,2026-03-26 09:31:30,1
14,Advanced Exteriors & Glazing of New England LLC,(603) 386-2082,32 Hampshire Road Unit 2 Salem NH 03079,,AGC Massachusetts,MA,https://members.agcmass.org/list/member/advanced-exteriors-glazing-of-new-england-llc-10741,Subcontractor,https://vimeo.com/user46359688,MA,agc_member_directory,https://www.agc.org/our-members/find-a-member,2026-03-26T09:31:30.384816+00:00,20260326_090725,8b9c2bf753ae55abe3852c347b362c46,2026-03-26 09:31:30,2026-03-26 09:31:30,1
15,Amrize,781.235.2680,35 Village Rd. Suite 703 Middleton MA 01949,,AGC Massachusetts,MA,https://members.agcmass.org/list/member/amrize-1906,Concrete/Concrete Products,https://vimeo.com/user46359688,MA,agc_member_directory,https://www.agc.org/our-members/find-a-member,2026-03-26T09:31:30.384816+00:00,20260326_090725,c46708cbfd9ff1572711198afa78e21d,2026-03-26 09:31:30,2026-03-26 09:31:30,1
16,Anderson & Kreiger LLP,(617) 621-6500,"50 Milk Street, 21st Floor Boston MA 02109",,AGC Massachusetts,MA,https://members.agcmass.org/list/member/anderson-kreiger-llp-boston-9084,Law Firm,https://vimeo.com/user46359688,MA,agc_member_directory,https://www.agc.org/our-members/find-a-member,2026-03-26T09:31:30.384816+00:00,20260326_090725,8a4b9070218104c4832116bd46c9b5be,2026-03-26 09:31:30,2026-03-26 09:31:30,1
17,Aon,(857) 268-2285,53 State Street Boston MA 02109,,AGC Massachusetts,MA,https://members.agcmass.org/list/member/aon-boston-10987,Insurance | Associate | Surety,https://vimeo.com/user46359688,MA,agc_member_directory,https://www.agc.org/our-members/find-a-member,2026-03-26T09:31:30.384816+00:00,20260326_090725,e408eba694a402a1395228e8b2e79467,2026-03-26 09:31:30,2026-03-26 09:31:30,1
18,"Applied Software Technology, GRAITEC",(617) 861-8870,7000 Central Parkway Suite 1530 Atlanta GA 30328,,AGC Massachusetts,MA,https://members.agcmass.org/list/member/applied-software-technology-graitec-9304,Construction Software Solutions | Engineering Software,https://vimeo.com/user46359688,MA,agc_member_directory,https://www.agc.org/our-members/find-a-member,2026-03-26T09:31:30.384816+00:00,20260326_090725,ba70d90d938bbd57c3d354457ff06a77,2026-03-26 09:31:30,2026-03-26 09:31:30,1
19,Associated Subcontractors of Massachusetts,617-742-3412,6 Beacon Street Suite 1125 Boston MA 02108,,AGC Massachusetts,MA,https://members.agcmass.org/list/member/associated-subcontractors-of-massachusetts-9204,,https://vimeo.com/user46359688,MA,agc_member_directory,https://www.agc.org/our-members/find-a-member,2026-03-26T09:31:30.384816+00:00,20260326_090725,922439bfd5d2cdb6f2a0ba63c8bd9f60,2026-03-26 09:31:30,2026-03-26 09:31:30,1
20,"AvalonBay Communities, Inc.",(617) 654-9513,600 Atlantic Ave. 20th Floor Boston MA 02210,,AGC Massachusetts,MA,https://members.agcmass.org/list/member/avalonbay-communities-inc-boston-10381,Constructor,https://vimeo.com/user46359688,MA,agc_member_directory,https://www.agc.org/our-members/find-a-member,2026-03-26T09:31:30.384816+00:00,20260326_090725,724b5f6935aedb8e710909f26d8901c4,2026-03-26 09:31:30,2026-03-26 09:31:30,1
21,Berkeley Building Company,(781) 246-3353,248 Main Street SUITE 103 READING MA 01867,,AGC Massachusetts,MA,https://members.agcmass.org/list/member/berkeley-building-company-reading-19,Corporate/Commercial | Constructor | Education | Government Military | Health Care | Historic Preservation/Restoration | Hotels | Laboratories Research Clean Rooms | Restaurants Retail | Sports Facilities Convention Centers | Tenant Fit-outs,https://vimeo.com/user46359688,MA,agc_member_directory,https://www.agc.org/our-members/find-a-member,2026-03-26T09:31:30.384816+00:00,20260326_090725,6db1df9ece5a2912422c1d9cffe781e3,2026-03-26 09:31:30,2026-03-26 09:31:30,1
22,"Bidgood Associates, Inc.",(781) 665-6800,81 Sewall Woods Rd Melrose MA 02176,,AGC Massachusetts,MA,https://members.agcmass.org/list/member/bidgood-associates-inc-88,Concrete/Concrete Products | Div 3 Concrete | Subcontractors,https://vimeo.com/user46359688,MA,agc_member_directory,https://www.agc.org/our-members/find-a-member,2026-03-26T09:31:30.384816+00:00,20260326_090725,45ba8f8bc47802983c2e42a5bad08211,2026-03-26 09:31:30,2026-03-26 09:31:30,1
23,"Bond Building Construction, Inc.",(617) 387-3400,10 Cabot Road Suite 304 Medford MA 02155,,AGC Massachusetts,MA,https://members.agcmass.org/list/member/bond-building-construction-inc-21,Corporate/Commercial | Constructor | Education | Health Care | Heavy Civil | Historic Preservation/Restoration | Laboratories Research Clean Rooms | Parking Structures | Tenant Fit-outs | Underground Utilities,https://vimeo.com/user46359688,MA,agc_member_directory,https://www.agc.org/our-members/find-a-member,2026-03-26T09:31:30.384816+00:00,20260326_090725,454812b3533600c414e7adf9a4045e82,2026-03-26 09:31:30,2026-03-26 09:31:30,1
