id,company_name,address,city,state,zip_code,country,phone,email,website,member_url,staffing_specialization,placement_type,industries_served,member_since,asa_member_type,is_hq,ownership_type,certified_professionals,geographic_scope,num_offices_in_state,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
1,Automation Personnel Services Inc.,236 Town Mart,Clanton,Alabama,35045-3784,United States,+12052585130,,https://www.apstemps.com,https://americanstaffing.net/members-directory/automation-personnel-services-inc-0015w00002feblzaau/,"Engineering (5%), Industrial (85%), Office Clerical (10%)","Temp Help (90%), Temp-to-Hire (5%)",,1993-08-10,Staffing Firm,No,,,National,7,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.028555+00:00,20260326_090225,384e83aac7beeb1a5212020227cdb8b8,2026-03-26 10:39:49,2026-03-26 10:39:49,1
2,Elwood Staffing Services,1515 7th St S Ste S,Clanton,Alabama,35045-8705,United States,+12055886716,,https://www.elwoodstaffing.com,https://americanstaffing.net/members-directory/elwood-staffing-services-0015w00002urerwaal/,"Engineering (5%), Industrial (80%), Office Clerical (10%)","Direct Hire (5%), Temp Help (5%), Temp-to-Hire (75%), Long-Term Contract (5%), HR Consulting (5%), Payrolling (5%)",,1996-07-15,Staffing Firm,No,,146,National,20,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.028555+00:00,20260326_090225,e7f7ad79823ff549ae26f9bc18b22bef,2026-03-26 10:39:49,2026-03-26 10:39:49,1
3,Johnson Service Group,300 Canyon Park Dr,Pelham,Alabama,35124-4819,United States,+12056645454,,https://www.jsginc.com,https://americanstaffing.net/members-directory/johnson-service-group-0015w00002ureibaad/,"Engineering (85%), IT (10%)","Temp Help (80%), Payrolling (20%)",,2012-08-16,Staffing Firm,No,,2,National,2,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.028555+00:00,20260326_090225,2dcc8d0c52f730b998462a310b43ee46,2026-03-26 10:39:49,2026-03-26 10:39:49,1
4,Peoplelink Group,20000 Highway 11 Ste 1,Woodstock,Alabama,35188-3748,United States,+15742325400,,https://www.peoplelinkstaffing.com,https://americanstaffing.net/members-directory/peoplelink-group-0015w00002uri8maad/,"Engineering (10%), Industrial (80%), Office Clerical (10%)","Temp Help (90%), Temp-to-Hire (10%)",,2016-06-16,Staffing Firm,No,,1,National,1,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.028555+00:00,20260326_090225,4215fde411ee301983130e66724ba2e0,2026-03-26 10:39:49,2026-03-26 10:39:49,1
5,Automation Personnel Services Inc.,2145 Pelham Pkwy,Pelham,Alabama,35124-1116,United States,+12054449774,,https://www.apstemps.com,https://americanstaffing.net/members-directory/automation-personnel-services-inc-0015w00002urgidaad/,"Engineering (5%), Industrial (85%), Office Clerical (10%)","Temp Help (90%), Temp-to-Hire (5%)",,1993-08-10,Staffing Firm,No,,,National,7,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.028555+00:00,20260326_090225,07ba814db290c24e1870c07860d38ae4,2026-03-26 10:39:49,2026-03-26 10:39:49,1
6,Staffmark,100 Concourse Pkwy Ste 160,Hoover,Alabama,35244-2886,United States,,,https://www.staffmark.com,https://americanstaffing.net/members-directory/staffmark-0015w00002uregdaal/,"Industrial (65%), Office Clerical (25%), Other (5%)","Temp Help (90%), Temp-to-Hire (5%), Payrolling (5%)",,2011-01-01,Staffing Firm,No,,34,National,2,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.028555+00:00,20260326_090225,07316f37ae0cdf1fd734733b777279ff,2026-03-26 10:39:49,2026-03-26 10:39:49,1
7,Staffmark Group,100 Concourse Pkwy Ste 160,Birmingham,Alabama,35244-2886,United States,+12056829495,,https://www.staffmark.com,https://americanstaffing.net/members-directory/staffmark-group-0015w00002ureznaal/,"Industrial (65%), Office Clerical (25%), Other (5%)","Temp Help (90%), Temp-to-Hire (5%), Payrolling (5%)",,2011-01-01,Staffing Firm,No,,34,National,4,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.028555+00:00,20260326_090225,92c5f1fb850114c7ff1366b18b491112,2026-03-26 10:39:49,2026-03-26 10:39:49,1
8,Aerotek,100 Concourse Pkway Ste 200,Hoover,Alabama,35244-1885,United States,+12059686100,,https://www.allegisgroup.com,https://americanstaffing.net/members-directory/aerotek-0015w00002urgxsaat/,"Engineering (35%), Health Care (5%), IT (5%), Industrial (25%), Office Clerical (20%)","Direct Hire (10%), Temp Help (45%), Temp-to-Hire (35%), Long-Term Contract (10%), Managed Services (5%)",,2004-01-01,Staffing Firm,No,,17,National,4,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.029572+00:00,20260326_090225,92f865a113537e92768f58ed795f44d8,2026-03-26 10:39:49,2026-03-26 10:39:49,1
9,Aerotek,100 Concourse Pkwy Ste 200,Birmingham,Alabama,35244-1885,United States,,,https://www.allegisgroup.com,https://americanstaffing.net/members-directory/aerotek-0015w00002urgxuaat/,"Engineering (35%), Health Care (5%), IT (5%), Industrial (25%), Office Clerical (20%)","Direct Hire (10%), Temp Help (45%), Temp-to-Hire (35%), Long-Term Contract (10%), Managed Services (5%)",,2004-01-01,Staffing Firm,No,,17,National,4,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.029572+00:00,20260326_090225,834c93e372441ac4b64bdab22fb10f5d,2026-03-26 10:39:49,2026-03-26 10:39:49,1
10,ManpowerGroup,5330 Stadium Trace Pkwy Ste 335,Birmingham,Alabama,35244-4526,United States,+12059878878,,https://www.manpowergroup.com,https://americanstaffing.net/members-directory/manpowergroup-0015w00002ureudaad/,"Engineering (20%), IT (20%), Industrial (20%), Office Clerical (20%)","Direct Hire (10%), Temp Help (10%), Temp-to-Hire (15%), Long-Term Contract (10%), HR Consulting (10%), Payrolling (10%), Managed Services (10%), Outplacement (10%)",,1975-01-20,Staffing Firm,No,Offer franchises,3,National,9,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.029572+00:00,20260326_090225,74ef8d4ff5ce4812e75f1cffb4438ec8,2026-03-26 10:39:49,2026-03-26 10:39:49,1
