id,company_name,address,city,state,zip,phone,email,website,country,pwsid,pws_type,owner_type,primary_source,population_served,service_connections,cities_served,county,epa_region,gw_sw_code,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
1,POARCH CREEK UTILITIES - WEST,Poarch Band of Creek Indians,ATMORE,AL,36502,251-446-1617,slivermore@pci-nsn.gov,,US,040000002,CWS,N,GW,5961,310,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.573928+00:00,20260325_143907,46132e58b7cf650069d3de685aa0c400,2026-03-25 14:39:55,2026-03-25 14:39:55,1
2,AUTAUGA CO WATER AUTHORITY,,PRATTVILLE,AL,36068,334-365-2804,lanar.phillips@att.net,,US,AL0000001,CWS,L,GW,7710,2570,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.573928+00:00,20260325_143907,b1d2d21c9730d985e45e70533b1d9ff5,2026-03-25 14:39:55,2026-03-25 14:39:55,1
3,AUTAUGAVILLE WATER WORKS,,AUTAUGAVILLE,AL,36003,334-365-9563,curtis.stoudemire@autaugavilleal.com,,US,AL0000002,CWS,L,GW,1494,498,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.573928+00:00,20260325_143907,668b1891b0e01c508bdd674b5d35e3af,2026-03-25 14:39:55,2026-03-25 14:39:55,1
4,BILLINGSLEY WATER SYSTEM,,BILLINGSLEY,AL,36006,205-755-9809,billingsleytown2021@yahoo.com,,US,AL0000003,CWS,L,GW,1440,475,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.573928+00:00,20260325_143907,9826625a98d75bc07caf31b97d5ff4fe,2026-03-25 14:39:55,2026-03-25 14:39:55,1
5,"MARBURY WATER SYSTEM, INC.",JAMES ALLEN GUY,MARBURY,AL,36051,205-755-7949,linda@marburywater.com,,US,AL0000013,CWS,L,SWP,8670,2890,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.573928+00:00,20260325_143907,74ddac232ae14edf5030cfdcd287bb09,2026-03-25 14:39:55,2026-03-25 14:39:55,1
6,"PRATTVILLE, THE WW BOARD OF THE CITY OF",,PRATTVILLE,AL,36068,334-365-6783,jnbuckner@pwwb.org,,US,AL0000017,CWS,L,SWP,46614,15538,,,04,SW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.573928+00:00,20260325_143907,e32ce25a86bbc9c1fa0cc0fa3773666e,2026-03-25 14:39:55,2026-03-25 14:39:55,1
7,NORTH BALDWIN UTILITIES,,BAY MINETTE,AL,36507,251-580-1626,jpadgett@nbumail.com,,US,AL0000023,CWS,L,GW,28713,12755,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.573928+00:00,20260325_143907,2759b462d788ef037b7c0b259470ace6,2026-03-25 14:39:55,2026-03-25 14:39:55,1
8,BELFOREST WATER SYSTEM,,DAPHNE,AL,36526,251-626-5554,board@belforestwater.com,,US,AL0000025,CWS,L,GW,17268,5756,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.573928+00:00,20260325_143907,9fec471386c806967d0f31363feb7b22,2026-03-25 14:39:55,2026-03-25 14:39:55,1
9,"PARK CITY WATER AUTHORITY, INC",,DAPHNE,AL,36526,251-626-5981,parkcitywater@aol.com,,US,AL0000028,CWS,L,GWP,1281,427,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.574925+00:00,20260325_143907,91952af96c6a7b603d465c8ea795241c,2026-03-25 14:39:55,2026-03-25 14:39:55,1
10,"DAPHNE, UTILITIES BOARD OF THE CITY OF",,DAPHNE,AL,36526,251-626-2628,scott@daphneutilities.com,,US,AL0000029,CWS,L,GW,33372,11124,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.574925+00:00,20260325_143907,85bc6c07a6017c178fbf755c044a039f,2026-03-25 14:39:55,2026-03-25 14:39:55,1
11,"FAIRHOPE, CITY OF",P O BOX 429,FAIRHOPE,AL,36533,,,,US,AL0000035,CWS,L,GW,59484,19828,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.574925+00:00,20260325_143907,d907ddb0eca3381a1896ed6b4f29058a,2026-03-25 14:39:55,2026-03-25 14:39:55,1
12,"FOLEY, UTILITIES BOARD OF THE CITY OF",P.O. BOX 2050,FOLEY,AL,36536,251-943-5001,jwallace@rivierautilities.com,,US,AL0000036,CWS,L,GW,50919,16973,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.574925+00:00,20260325_143907,5a41989a19ef29845cd2874691d0a4f7,2026-03-25 14:39:55,2026-03-25 14:39:55,1
13,"GULF SHORES, THE UB OF THE CITY OF",,GULF SHORES,AL,36542,251-968-6323,gsuwtp1@gmail.com,,US,AL0000038,CWS,L,GW,36798,12266,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.574925+00:00,20260325_143907,b935a50e34c74a0c673ad798513f9235,2026-03-25 14:39:55,2026-03-25 14:39:55,1
14,"LOXLEY, CITY OF",1089 S. Hickory Street,LOXLEY,AL,36551,251-964-5162,"loxleypud@townofloxley,org",,US,AL0000048,CWS,L,GW,10104,3368,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.574925+00:00,20260325_143907,38f41b7a7f43fc3f0cc2df4d1e3fb619,2026-03-25 14:39:55,2026-03-25 14:39:55,1
15,"ORANGE BEACH WATER, SEWER AND F.P.A.",P.O. Box 247,ORANGE BEACH,AL,36561,251-381-4233,tsmith@obwaterauthority.com,,US,AL0000053,CWS,L,GW,17796,5932,,,04,GW,awwa_water_utilities,https://data.epa.gov/efservice/WATER_SYSTEM,2026-03-25T14:39:55.574925+00:00,20260325_143907,133e6a7a8f6cc5eb26aaeb5661decf63,2026-03-25 14:39:55,2026-03-25 14:39:55,1
