id,company_name,address,city,state,state_full,zip_code,country,phone,email,website,brewery_type,is_craft_brewery,independence_certified,membership_status,membership_type,voting_member,account_badges,year_established,latitude,longitude,geocode_accuracy,region,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
1,Barley POP! Brewing,1208 10th St,Snohomish,WA,Washington,98290-2099,US,(360) 610-6843,,https://www.barleypopbeer.com/,Micro,Yes,No,Expired,Monthly Brewery Membership,No,BA Monthly Brewery Member,,47.924323,-122.096792,Address,Pacific,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.889593+00:00,20260326_160140,f829075e8138d5f3cd49d8a99d35a580,2026-03-25 20:30:01,2026-03-26 16:02:01,0
2,Trap Door Brewery & Kitchen,1834 Main St,Washougal,WA,Washington,98671-4107,US,(503) 758-2569,,,Brewpub,Yes,No,Active,Brewery Membership,Yes,,,45.578308,-122.351998,Address,Pacific,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.889593+00:00,20260326_160140,7beb5e552e6e3808c18ae6fe88e19954,2026-03-25 20:30:01,2026-03-26 16:02:01,0
3,Pratt Brewing Company,2025 Main Street Rd,Spring Grove,IL,Illinois,60081,US,,,http://www.prattbrewing.com/,Micro,Yes,No,,,No,,,42.44395,-88.237112,Block,Midwest,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.889593+00:00,20260326_160140,97993bd8ace645c9be326b3aaa907d2a,2026-03-25 20:30:01,2026-03-26 16:02:01,0
4,Lavelle Brewing,11515 Gilleland Rd,Huntsville,AL,Alabama,35801,US,(973) 945-6121,,,Brewery In Planning,No,No,Expired,Brewery Membership,No,"CBC 2023 Attendee,BA Brewery Member",,34.621964,-86.565111,Address,Southeast,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.889593+00:00,20260326_160140,fec2b4ed72719dc04ea7ff8f4217c84e,2026-03-25 20:30:01,2026-03-26 16:02:01,0
5,Noble Twist,248 Culver St,Saugatuck,MI,Michigan,49453,US,8126309013,,https://www.nobletwist.com/,Brewpub,Yes,No,Active,Brewery Membership,Yes,"CBC 2025 Attendee,BA Brewery Member",,42.654859,-86.203082,NearAddress,Midwest,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.889593+00:00,20260326_160140,75d53ed1d1ee2f6c6d52512d268d3a80,2026-03-25 20:30:01,2026-03-26 16:02:01,0
6,"Brewery in Planning - Windham, ME",5 Leeward Pass,Windham,ME,Maine,04062,US,(207) 318-1809,,,Brewery In Planning,No,No,Expired,Brewery Membership,No,,,43.775763,-70.363276,Block,Northeast,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.889593+00:00,20260326_160140,dfa6fd892471cfaedca4bf27de556a0f,2026-03-25 20:30:01,2026-03-26 16:02:01,0
7,NoFo Brew Co - Gainesville,434 High St SW,Gainesville,GA,Georgia,30501,US,(678) 771-8116,,,Taproom,Yes,No,Active,Brewery Membership,Yes,,,34.29041,-83.824737,Address,Southeast,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,8ba0f4e86d7ac42e1310e18c8dcfc0ac,2026-03-25 20:30:01,2026-03-26 16:02:01,0
8,Scofflaw Brewing Co - Midcity Yards,1421 6th Ave,Columbus,GA,Georgia,31901,US,(404) 915-3392,,,Taproom,Yes,No,Expired,Monthly Brewery Membership,No,,,32.473383,-84.985216,Address,Southeast,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,9585263762fe1148e49f31dc7e84def4,2026-03-25 20:30:01,2026-03-26 16:02:01,0
9,"Newville Brewing Company, INC",329 Yolo St,Orland,CA,California,95963-1724,US,(530) 521-1722,,https://www.newvillebrewing.com,Brewery In Planning,No,No,Expired,Brewery Membership,No,,,39.743565,-122.193164,Address,Pacific,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,a2bfaed675dbf3ebffdee439da2eab09,2026-03-25 20:30:01,2026-03-26 16:02:01,0
10,Clendenin Brewing Company,2 Main St,Clendenin,WV,West Virginia,25045,US,,,,Brewpub,Yes,No,,,No,,,38.489242,-81.348524,Address,Mid-Atlantic,brewers_association,https://www.brewersassociation.org/directories/breweries/,2026-03-26T16:02:00.890592+00:00,20260326_160140,ef5c74854a04e721fa50ff4a1753f5ad,2026-03-25 20:30:01,2026-03-26 16:02:01,0
