id,company_name,address,city,state,zip_code,country,phone,email,website,provider_id,accreditation_area,service_domain,program_types,population_served,accreditation_status,is_administrative_only,program_count,latitude,longitude,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
1,10th-Street-348726,811 East 10th Street,Mesa,AZ,85203,US,480-738-9614,,,348726,,,,,Accredited,No,0,33.4323971,-111.8136973,carf_accredited_providers,https://carf.org/find-provider/,2026-03-26T11:02:37.076249+00:00,20260326_102413,carf_pid_348726,2026-03-26 11:02:37,2026-03-26 11:02:37,1
2,7th-Ave-Outpatient-Clinic-249652,1424 South 7th Avenue Building C,Phoenix,AZ,85007,US,602-258-3600,,,249652,,,,,Accredited,No,0,33.4342726,-112.0830079,carf_accredited_providers,https://carf.org/find-provider/,2026-03-26T11:02:37.076249+00:00,20260326_102413,carf_pid_249652,2026-03-26 11:02:37,2026-03-26 11:02:37,1
3,8th-St-353916,,Laramie,WY,,US,,,,353916,,,,,Accredited,No,0,41.3113669,-105.5911007,carf_accredited_providers,https://carf.org/find-provider/,2026-03-26T11:02:37.076249+00:00,20260326_102413,carf_pid_353916,2026-03-26 11:02:37,2026-03-26 11:02:37,1
4,A-Blessed-Nest-345697,,Phoenix,AZ,,US,,,,345697,,,,,Accredited,No,0,33.4482266,-112.0776781,carf_accredited_providers,https://carf.org/find-provider/,2026-03-26T11:02:37.076249+00:00,20260326_102413,carf_pid_345697,2026-03-26 11:02:37,2026-03-26 11:02:37,1
5,A-Blessed-Nest-Bellair-361729,,Glendale,AZ,,US,,,,361729,,,,,Accredited,No,0,33.5386523,-112.1859866,carf_accredited_providers,https://carf.org/find-provider/,2026-03-26T11:02:37.076249+00:00,20260326_102413,carf_pid_361729,2026-03-26 11:02:37,2026-03-26 11:02:37,1
6,A-Blessed-Nest-Cashman-349569,1918 East Cashman Road,Phoenix,AZ,85024,US,,,,349569,,,,,Accredited,No,0,33.6919296,-112.0406709,carf_accredited_providers,https://carf.org/find-provider/,2026-03-26T11:02:37.076249+00:00,20260326_102413,carf_pid_349569,2026-03-26 11:02:37,2026-03-26 11:02:37,1
7,A-First-Step-LLC-290385,,Albuquerque,NM,,US,,,http://aboutus.afirststepllc.com/,290385,,,,,Accredited,No,0,35.0843859,-106.650422,carf_accredited_providers,https://carf.org/find-provider/,2026-03-26T11:02:37.076249+00:00,20260326_102413,carf_pid_290385,2026-03-26 11:02:37,2026-03-26 11:02:37,1
8,A-New-Leaf-Inc-394257,868 East University Drive,Mesa,AZ,85203,US,480-969-4024,,https://www.turnanewleaf.org,394257,,,,,Accredited,No,0,33.4226928,-111.812009,carf_accredited_providers,https://carf.org/find-provider/,2026-03-26T11:02:37.076249+00:00,20260326_102413,carf_pid_394257,2026-03-26 11:02:37,2026-03-26 11:02:37,1
9,A-New-Leaf’s-East-Valley-Men’s-Center-399891,2345 North Country Club Drive,Mesa,AZ,85201,US,480-969-4024,,,399891,,,,,Accredited,No,0,33.458259,-111.8392521,carf_accredited_providers,https://carf.org/find-provider/,2026-03-26T11:02:37.076249+00:00,20260326_102413,carf_pid_399891,2026-03-26 11:02:37,2026-03-26 11:02:37,1
10,A-R-T-S-Parkside-Clinic-38891,1620 Gaylord Street,Denver,CO,80206,US,303-388-5894,,https://www.artstreatment.com,38891,,,,,Accredited,No,0,39.7421689,-104.9607438,carf_accredited_providers,https://carf.org/find-provider/,2026-03-26T11:02:37.076249+00:00,20260326_102413,carf_pid_38891,2026-03-26 11:02:37,2026-03-26 11:02:37,1
11,A-W-A-R-E-Center-402773,690 West 84th Avenue,Thornton,CO,80260,US,303-853-3500,,,402773,,,,,Accredited,No,0,39.8474559,-104.9946719,carf_accredited_providers,https://carf.org/find-provider/,2026-03-26T11:02:37.076249+00:00,20260326_102413,carf_pid_402773,2026-03-26 11:02:37,2026-03-26 11:02:37,1
12,Abilene-Absolute-Recovery-Solutions-OTP-DBA-Abilene-Absolute-Recovery-Solutions-OTP-AARS-OTP-342162,429 North Judge Ely Boulevard,Abilene,TX,79601,US,325-400-8586,,https://www.texasmethadone.com,342162,,,,,Accredited,No,0,32.4515,-99.7058887,carf_accredited_providers,https://carf.org/find-provider/,2026-03-26T11:02:37.076249+00:00,20260326_102413,carf_pid_342162,2026-03-26 11:02:37,2026-03-26 11:02:37,1
13,Abilene-Goodwill-Industries-Inc-357347,2200 North First Street,Abilene,TX,79603,US,325-676-7925,,https://goodwillwesttexas.org,357347,,,,,Accredited,No,0,32.4509203,-99.7498188,carf_accredited_providers,https://carf.org/find-provider/,2026-03-26T11:02:37.076249+00:00,20260326_102413,carf_pid_357347,2026-03-26 11:02:37,2026-03-26 11:02:37,1
14,Abilene-Residential-308548,225 Mulberry Street,Abilene,TX,79601,US,325-673-6489,,,308548,,,,,Accredited,No,0,32.4515431,-99.7400396,carf_accredited_providers,https://carf.org/find-provider/,2026-03-26T11:02:37.076249+00:00,20260326_102413,carf_pid_308548,2026-03-26 11:02:37,2026-03-26 11:02:37,1
15,Abilene-VA-Clinic-299971,,Abilene,TX,,US,,,,299971,,,,,Accredited,No,0,32.4534878,-99.7312829,carf_accredited_providers,https://carf.org/find-provider/,2026-03-26T11:02:37.076249+00:00,20260326_102413,carf_pid_299971,2026-03-26 11:02:37,2026-03-26 11:02:37,1
16,Able-Hands-220122,126 Elk Street,Rock Springs,WY,82901,US,307-362-6029,,https://www.ablehands.org,220122,,,,,Accredited,No,0,41.5877706,-109.2218738,carf_accredited_providers,https://carf.org/find-provider/,2026-03-26T11:02:37.076249+00:00,20260326_102413,carf_pid_220122,2026-03-26 11:02:37,2026-03-26 11:02:37,1
17,Able-Hands-Men’s-Home-233024,,Rock Springs,WY,,US,,,,233024,,,,,Accredited,No,0,41.5874644,-109.2029043,carf_accredited_providers,https://carf.org/find-provider/,2026-03-26T11:02:37.076249+00:00,20260326_102413,carf_pid_233024,2026-03-26 11:02:37,2026-03-26 11:02:37,1
18,Able-Hands-Women’s-Home-237597,,Rock Springs,WY,,US,,,,237597,,,,,Accredited,No,0,41.5874644,-109.2029043,carf_accredited_providers,https://carf.org/find-provider/,2026-03-26T11:02:37.076249+00:00,20260326_102413,carf_pid_237597,2026-03-26 11:02:37,2026-03-26 11:02:37,1
19,Able-Hands-Women’s-House-253380,,Rock Springs,WY,,US,,,,253380,,,,,Accredited,No,0,41.5874644,-109.2029043,carf_accredited_providers,https://carf.org/find-provider/,2026-03-26T11:02:37.076249+00:00,20260326_102413,carf_pid_253380,2026-03-26 11:02:37,2026-03-26 11:02:37,1
20,ACHIEVE-Human-Services-Inc-205083,3250A East 40th Street Building A,Yuma,AZ,85365,US,928-341-0335,,https://www.achievehs.org,205083,,,,,Accredited,No,0,32.655559,-114.5775753,carf_accredited_providers,https://carf.org/find-provider/,2026-03-26T11:02:37.076249+00:00,20260326_102413,carf_pid_205083,2026-03-26 11:02:37,2026-03-26 11:02:37,1
21,Achieving-Better-Coping-Skills-LLC-351138,1801 South Jen Tilly Lane Suite A-20,Tempe,AZ,85281,US,480-292-9810,,https://www.abcservices.org,351138,,,,,Accredited,No,0,33.4084333,-111.9230919,carf_accredited_providers,https://carf.org/find-provider/,2026-03-26T11:02:37.076249+00:00,20260326_102413,carf_pid_351138,2026-03-26 11:02:37,2026-03-26 11:02:37,1
22,Active-Recovery-336434,25 South Main Street Suite 202,Centerville,UT,84014,US,801-663-6656,,https://www.activeinrecovery.com,336434,,,,,Accredited,No,0,40.9169319,-111.8785638,carf_accredited_providers,https://carf.org/find-provider/,2026-03-26T11:02:37.076249+00:00,20260326_102413,carf_pid_336434,2026-03-26 11:02:37,2026-03-26 11:02:37,1
