id,company_name,address,city,state,zip_code,country,phone,email,website,licence_number,doing_business_as,included_establishments,province,postal_code,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
1,9500375 CANADA INC.,600 Serafini Cres,Milton,Ontario,L9T7P1,Canada,,,,3B367DMD,,,Ontario,L9T7P1,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.577734+00:00,20260325_232013,10f9a2278a6744e41657aa495d96b2cd,2026-03-25 23:20:20,2026-03-25 23:20:20,1
2,"NOVALIVE HEALTH, INC.",2087 Highway 2,Milford,Nova Scotia,B0N1Y0,Canada,,,,3B38RY4R,,"37 Hemlock Crt, Enfield, Nova Scotia, Canada, B2T1H9",Nova Scotia,B0N1Y0,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.577734+00:00,20260325_232013,ed4578596acb623536b94c1de1998334,2026-03-25 23:20:20,2026-03-25 23:20:20,1
3,Noble Bean Inc.,902-5333 av Casgrain,Montréal,Quebec,H2T1X3,Canada,,,,3B3J876N,Noble Bean Inc.,"902-5333 av Casgrain, Montréal, Quebec, Canada, H2T1X3",Quebec,H2T1X3,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.577734+00:00,20260325_232013,a503d1ccc7aaa57eba2414b0b86d6763,2026-03-25 23:20:20,2026-03-25 23:20:20,1
4,NATURE FRESH CANADA INC.,1685 55E Av,Dorval,Quebec,H9P2W3,Canada,,,,3B3PKKRX,,,Quebec,H9P2W3,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.577734+00:00,20260325_232013,29888272ba052ddcfe644d0ab449af67,2026-03-25 23:20:20,2026-03-25 23:20:20,1
5,PAGE MACMAN,194 Lalor drive,Red Deer,Alberta,T4R0R4,Canada,,,,3B3RNXL7,,,Alberta,T4R0R4,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.577734+00:00,20260325_232013,045aa09d7e381dc90952cb3f295491f8,2026-03-25 23:20:20,2026-03-25 23:20:20,1
6,JUAN MEAT MARKET LTD,40 Beverly Hills DR unit 52,TORONTO,Ontario,M3L1A1,Canada,,,,3B46GM88,,,Ontario,M3L1A1,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.577734+00:00,20260325_232013,0347f5e587a4139a579ace527dcad64f,2026-03-25 23:20:20,2026-03-25 23:20:20,1
7,Emballage Charbonneau inc.,830 rue Hervé N,Saint-Amable,Quebec,J0L1N0,Canada,,,,3B46XYLR,,"784 chemin Fer-à-Cheval, Ste-Julie, Quebec, Canada, J3E1Y2",Quebec,J0L1N0,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.577734+00:00,20260325_232013,e2cf35b6ba645e967575d472ae990b14,2026-03-25 23:20:20,2026-03-25 23:20:20,1
8,Pro-Amino International Inc,12 700 Boulevard Henri-Fabre Est,Mirabel,Quebec,J7N0A6,Canada,,,,3B4J9LYW,Pro-Amino International Inc.,"12700 boul Henri-Fabre E, Mirabel, Quebec, Canada, J7N0A6",Quebec,J7N0A6,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.577734+00:00,20260325_232013,ac07914634495721a032e8c20efb6357,2026-03-25 23:20:20,2026-03-25 23:20:20,1
9,Nisaka Trading Inc.,334-22359 Lougheed Hwy,Maple Ridge,British Columbia,V2X2T3,Canada,,,,3B4JCDY8,,,British Columbia,V2X2T3,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.577734+00:00,20260325_232013,8799cbc8d21855145610fe57878db8bb,2026-03-25 23:20:20,2026-03-25 23:20:20,1
10,ALIMENTATION SUNBEC INC./SUNBEC FOOD INC.,2279 A. des laurentides,Laval,Quebec,H7S1Z7,Canada,,,,3B4KB8H6,,"2279 Autoroute des Laurentides, Laval, Quebec, Canada, H7S1Z7",Quebec,H7S1Z7,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.577734+00:00,20260325_232013,313d4c1ef4f777c00e93f3f95f6ba746,2026-03-25 23:20:20,2026-03-25 23:20:20,1
