id,company_name,address,city,state,zip_code,country,phone,email,website,member_type,net_zero_qualified,renomark,province,local_hba,member_url,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
1,Akash Homes,9811 34th Ave NW #302,Edmonton,MB,,Canada,(780) 461-5110,,,Builder,False,False,MB,,https://hub.chba.ca/member-directory/Details/akash-homes-4130683,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.174553+00:00,20260326_092850,ad3c0930d983789dd86e5404a380faed,2026-03-26 09:31:32,2026-03-26 09:31:32,1
2,Alair Homes,10338 Wildrose Drive,Rosedale,BC,,Canada,,,,Builder,False,False,BC,,https://hub.chba.ca/member-directory/Details/alair-homes-3272536,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.174553+00:00,20260326_092850,9434803df5b488b0c4efd12784cf2767,2026-03-26 09:31:32,2026-03-26 09:31:32,1
3,ACE Integrated Systems Ltd.,2323 Boundary Rd #118,Vancouver,BC,,Canada,(604) 565-1110,,,Trade Contractor,False,False,BC,,https://hub.chba.ca/member-directory/Details/ace-integrated-systems-ltd-3562764,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.174553+00:00,20260326_092850,d7e1364d21904d42a4ad1abfe6c6ed44,2026-03-26 09:31:32,2026-03-26 09:31:32,1
4,ASSA ABLOY (Americas Residential),101 - 255 Longside Drive,Mississauga,ON,,Canada,(778) 584-1802,,,,False,False,ON,,https://hub.chba.ca/member-directory/Details/assa-abloy-americas-residential-3856946,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.174553+00:00,20260326_092850,2d302fcfcbad6a86d6bcaa2e99670d9e,2026-03-26 09:31:32,2026-03-26 09:31:32,1
5,Arix Developments,3563 West 47 Avenue,Vancouver,BC,,Canada,(778) 887-6026,,,Builder,False,False,BC,,https://hub.chba.ca/member-directory/Details/arix-developments-4000951,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.174553+00:00,20260326_092850,ac0bc40f3669f2916e09aa1cacdf7019,2026-03-26 09:31:32,2026-03-26 09:31:32,1
6,Am-Pri Construction Ltd.,9751 No. 6 Road,Richmond,BC,,Canada,(604) 277-8453,,,Builder,False,False,BC,,https://hub.chba.ca/member-directory/Details/am-pri-construction-ltd-3562590,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.174553+00:00,20260326_092850,49fbf301ee1c4a8ce24e9c2ed93cbeb4,2026-03-26 09:31:32,2026-03-26 09:31:32,1
7,Airfoam Industries Ltd.,19402 56 Avenue,Surrey,BC,,Canada,,,,Supplier,False,False,BC,,https://hub.chba.ca/member-directory/Details/airfoam-industries-ltd-3272359,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.174553+00:00,20260326_092850,b7396fb0dc8dd2b7dae9e6c10dd8df73,2026-03-26 09:31:32,2026-03-26 09:31:32,1
8,Amber Peak Developments,459 Princess St.,Kingston,ON,,Canada,(780) 263-6494,,,Builder,False,False,ON,,https://hub.chba.ca/member-directory/Details/amber-peak-developments-3968669,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.174553+00:00,20260326_092850,af17413e70c172b1fdf423dd242f7cf5,2026-03-26 09:31:32,2026-03-26 09:31:32,1
9,Avestex Group,430 West 14 Street,North Vancouver,BC,,Canada,(604) 283-7839,,,Builder,False,False,BC,,https://hub.chba.ca/member-directory/Details/avestex-group-3273526,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.174553+00:00,20260326_092850,9c0114f9b3afb448800b826b0d20732e,2026-03-26 09:31:32,2026-03-26 09:31:32,1
10,Angèle's Drafting & Design,10960 250 Road,Pineview,BC,,Canada,(250) 261-9787,,,,False,False,BC,,https://hub.chba.ca/member-directory/Details/ang-le-s-drafting-design-3272611,chba_home_builders,https://hub.chba.ca/member-directory,2026-03-26T09:31:32.174553+00:00,20260326_092850,4a18dd91e258a3805ed4f042dcc0c073,2026-03-26 09:31:32,2026-03-26 09:31:32,1
