id,company_name,address,phone,website,email,registration_number,licence_type,licence_status,firm_name,consultant_name,active,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
1,GALT IMMIGRATION SOLUTIONS INC.,,,,,R711474,RCIC,RCIC-IRB - L3,GALT IMMIGRATION SOLUTIONS INC.,Harpreet Kaur -,Yes,cicc_immigration_consultants,https://register.college-ic.ca/Public-Register-EN/Public-Register-EN/RCIC_Search.aspx,2026-03-25T23:39:52.355683+00:00,20260325_225913,94a300cede4411a36abb181d2cb8cf8a,2026-03-25 23:39:52,2026-03-25 23:39:52,1
2,VIRDI IMMIGRATION SERVICES,,,,,R710865,RCIC,RCIC - L2,VIRDI IMMIGRATION SERVICES,Parmjit Kaur -,No,cicc_immigration_consultants,https://register.college-ic.ca/Public-Register-EN/Public-Register-EN/RCIC_Search.aspx,2026-03-25T23:39:52.355683+00:00,20260325_225913,0e7e9443c80b70fb82208f76cba36f21,2026-03-25 23:39:52,2026-03-25 23:39:52,1
3,KUKREJA IMMIGRATION CONSULTANCY INC.,,,,,R709877,RCIC,RCIC - L2,KUKREJA IMMIGRATION CONSULTANCY INC.,Priya -,Yes,cicc_immigration_consultants,https://register.college-ic.ca/Public-Register-EN/Public-Register-EN/RCIC_Search.aspx,2026-03-25T23:39:52.355683+00:00,20260325_225913,604e95378d7e56a03f2fd6b60cd36a82,2026-03-25 23:39:52,2026-03-25 23:39:52,1
4,Visa Deck Immigration Services Inc.,,,,,R710469,RCIC,RCIC - L2,Visa Deck Immigration Services Inc.,Akashpreet Kaur .,Yes,cicc_immigration_consultants,https://register.college-ic.ca/Public-Register-EN/Public-Register-EN/RCIC_Search.aspx,2026-03-25T23:39:52.355683+00:00,20260325_225913,5832e1c01d18b9ac6b4d279cd70e3ac1,2026-03-25 23:39:52,2026-03-25 23:39:52,1
5,NSEW(NORTH SOUTH EAST WEST) IMMIGRATION INC.,,,,,R709878,RCIC,RCIC - L2,NSEW(NORTH SOUTH EAST WEST) IMMIGRATION INC.,Akriti .,Yes,cicc_immigration_consultants,https://register.college-ic.ca/Public-Register-EN/Public-Register-EN/RCIC_Search.aspx,2026-03-25T23:39:52.355683+00:00,20260325_225913,a523bed5f926e07fdc379721072cc1ea,2026-03-25 23:39:52,2026-03-25 23:39:52,1
6,CROSSBRIDGE IMMIGRATION SOLUTIONS,,,,,R711206,RCIC,RCIC - L2,CROSSBRIDGE IMMIGRATION SOLUTIONS,Amandeep Kaur .,Yes,cicc_immigration_consultants,https://register.college-ic.ca/Public-Register-EN/Public-Register-EN/RCIC_Search.aspx,2026-03-25T23:39:52.355683+00:00,20260325_225913,6fc5a853473ec3592d42293dadba6caf,2026-03-25 23:39:52,2026-03-25 23:39:52,1
7,Amandeep Kaur .,,,,,R712773,RCIC,RCIC - L1,,Amandeep Kaur .,No,cicc_immigration_consultants,https://register.college-ic.ca/Public-Register-EN/Public-Register-EN/RCIC_Search.aspx,2026-03-25T23:39:52.355683+00:00,20260325_225913,f534ba8fb4a8d87238b96cbf359b3780,2026-03-25 23:39:52,2026-03-25 23:39:52,1
8,Canza Immigration Ltd.,,,,,R705436,RCIC,RCIC - L2,Canza Immigration Ltd.,Amandeep Singh .,Yes,cicc_immigration_consultants,https://register.college-ic.ca/Public-Register-EN/Public-Register-EN/RCIC_Search.aspx,2026-03-25T23:39:52.355683+00:00,20260325_225913,5b8e950f1931e6d78377185c4df75fd4,2026-03-25 23:39:52,2026-03-25 23:39:52,1
9,Macro World Consultancy LTD.,,,,,R707700,RCIC,RCIC - L2,Macro World Consultancy LTD.,Amandeep Singh .,Yes,cicc_immigration_consultants,https://register.college-ic.ca/Public-Register-EN/Public-Register-EN/RCIC_Search.aspx,2026-03-25T23:39:52.356681+00:00,20260325_225913,58e6ef2e577298b732454b23437d3a09,2026-03-25 23:39:52,2026-03-25 23:39:52,1
10,Unite2canada Immigration Services Inc.,,,,,R708446,RCIC,RCIC - L2,Unite2canada Immigration Services Inc.,Amandeep Singh .,Yes,cicc_immigration_consultants,https://register.college-ic.ca/Public-Register-EN/Public-Register-EN/RCIC_Search.aspx,2026-03-25T23:39:52.356681+00:00,20260325_225913,7dd9a219735c34b71047bbc9e78b8b36,2026-03-25 23:39:52,2026-03-25 23:39:52,1
