id,company_name,legal_name,trade_name,address,city,phone,website,email,cor_number,cor_issue_date,cor_expiry_date,cor_type,cor_standard,certifying_body,province,certification_status,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
1,090 BUILDERS GROUP INC.,090 BUILDERS GROUP INC.,,,,,,,20250912-3942,2025-09-12,2028-09-12,Standard COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.920816+00:00,20260325_112217,a7e32ae5d95edee6f6808ae02130ccaa,2026-03-25 11:23:15,2026-03-25 11:23:15,1
2,0985230 B.C. LTD.,0985230 B.C. LTD.,,,,,,,20250822-2949,2025-08-22,2028-08-22,Standard COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.920816+00:00,20260325_112217,7e5cbd3decba5bef4afaf9f1ac73ba18,2026-03-25 11:23:15,2026-03-25 11:23:15,1
3,1007811 ALBERTA LTD.,1007811 ALBERTA LTD.,,,,,,,20250703-SE4961,2025-07-03,2028-07-03,Small Employer COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.920816+00:00,20260325_112217,7c77e3e9d31f7fb89e2a12f61ab179f4,2026-03-25 11:23:15,2026-03-25 11:23:15,1
4,1009611 ALBERTA LTD.,1009611 ALBERTA LTD.,,,,,,,20240418-6816,2024-04-18,2027-04-18,Standard COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.920816+00:00,20260325_112217,7674fa1aadc815c1fcc46734f41b31c1,2026-03-25 11:23:15,2026-03-25 11:23:15,1
5,101046823 SASKATCHEWAN LTD.,101046823 SASKATCHEWAN LTD.,,,,,,,20240521-SE7007,2024-05-21,2027-05-21,Small Employer COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.920816+00:00,20260325_112217,e35f61029d930f3b12c9b34ccf25bcaa,2026-03-25 11:23:15,2026-03-25 11:23:15,1
6,101063336 SASKATCHEWAN LTD.,101063336 SASKATCHEWAN LTD.,,,,,,,20240509-SE6615,2024-05-09,2027-05-09,Small Employer COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.920816+00:00,20260325_112217,3356693bf0bfa429217f68b040191193,2026-03-25 11:23:15,2026-03-25 11:23:15,1
7,101072382 SASKATCHEWAN LTD.,101072382 SASKATCHEWAN LTD.,,,,,,,20250130-SE0558,2025-01-30,2028-01-30,Small Employer COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.920816+00:00,20260325_112217,690ff8f9e54849872a1836cc33f80fbc,2026-03-25 11:23:15,2026-03-25 11:23:15,1
8,101179648 SASKATCHEWAN LTD.,101179648 SASKATCHEWAN LTD.,,,,,,,20241030-SE9194,2024-10-30,2027-10-30,Small Employer COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,8dab39d718499fb18beb5ad9e6a040d4,2026-03-25 11:23:15,2026-03-25 11:23:15,1
9,101180643 SASKATCHEWAN LTD.,101180643 SASKATCHEWAN LTD.,,,,,,,20240710-SE7454,2024-07-10,2027-07-10,Small Employer COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,33984328b1831035b1406474e1a6ec1d,2026-03-25 11:23:15,2026-03-25 11:23:15,1
10,101239314 SASKATCHEWAN LTD.,101239314 SASKATCHEWAN LTD.,,,,,,,20241122-9569,2024-11-22,2027-11-22,Standard COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,1a9dfe099360f7529098ce5b315b1620,2026-03-25 11:23:15,2026-03-25 11:23:15,1
