id,company_name,address,city,state,zip_code,country,phone,email,website,cert_type,certified_tech_count,hvac_specialty,manufacturer_count,has_premium_brands,multi_brand_dealer,carries_geothermal,carries_mini_split,nate_certified_company,affiliate_number,latitude,longitude,distance_miles,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
1,Morin Mechanical Services LLC,10 Bungalow St. PO Box 411,Southwick,MA,01077,United States,413-569-1313,,,,0,,0,No,No,No,No,Yes,C3-26612,42.0457015,-72.7619477,7.358996163712392,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.036326+00:00,20260326_094831,5b69d038d74712163a754f94c4f42fef,2026-03-25 21:38:45,2026-03-26 10:03:16,0
2,Aiello Home Services,600 Old County Circle,Windsor Locks,CT,06096,United States,860-292-2641,s.birch@aiellohomeservices.com,https://www.aiellohomeservices.com,,0,"American Standard, Goodman, Lennox",3,Yes,Yes,No,No,Yes,C3-55045,41.9109771,-72.660345,11.15881627531934,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.036326+00:00,20260326_094831,434fb9c1936b47e4e2bae13d20445dc7,2026-03-25 21:38:45,2026-03-26 10:03:16,0
3,Orchard Valley Heating and Cooling,29 Rattle Hill Rd,Southampton,MA,01073,United States,413-527-5812,jimp@orchardvalleyhc.com,https://www.orchardvalleyhc.com,,0,,0,No,No,No,No,Yes,C3-73187,42.250883,-72.7307812,13.64997258300257,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.036326+00:00,20260326_094831,e2cc2e7dec9e192c616e1a54653af1d1,2026-03-25 21:38:45,2026-03-26 10:03:16,0
4,Hipoint Heating and Cooling,71 Edwin Rd,South Windsor,CT,06074,United States,860-291-0181,pnavarro@hipointcooling.com,https://www.hipointcooling.com,,0,,0,No,No,No,No,Yes,C3-97005,41.8368088,-72.6070017,16.12829209066912,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.036326+00:00,20260326_094831,4b858703bca52715e69d5776fee67ebc,2026-03-25 21:38:45,2026-03-26 10:03:16,0
5,Valley A/C & Htg,129 West St,Simsbury Center,CT,06070,United States,860-6580371,valairheat@gmail.com,,,0,Trane,1,Yes,No,No,No,Yes,C3-61499,41.8699456,-72.8163784,17.04494186564228,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.036326+00:00,20260326_094831,2a221c55e013201b7850d026b16f2bc4,2026-03-25 21:38:45,2026-03-26 10:03:16,0
6,Pioneer Heating and Cooling,PO Box 531 23 Hooker Avenue,Northampton,MA,01061,United States,413-580-7925,tfpatriot@verizon.net,,,0,,0,No,No,No,No,Yes,C3-26772,42.3267219,-72.634786,17.716037393915148,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.036326+00:00,20260326_094831,7478f9fa42d5a211fe9a223be01ac4cb,2026-03-25 21:38:45,2026-03-26 10:03:16,0
7,Nutmeg Mechanical Service Inc.,130 utopia rd.,Manchester,CT,06042,United States,860-643-2042,henry@nutmegmechanical.com,http://nutmegmechanical.com,Quality,5,"Amana, Carrier, Goodman, Lennox",4,Yes,Yes,No,No,Yes,C3-40873,41.7966,-72.5292,19.488117154148302,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.036326+00:00,20260326_094831,6f148f342a2031fe88a9daf822c14a98,2026-03-25 21:38:45,2026-03-26 10:03:16,0
8,CS Heating & Air,638 Federal St,Belchertown,MA,01007,United States,413-323-0254,cshvacservice@gmail.com,,,0,"Amana, American Standard, Bryant, Carrier, Goodman, Heil, International Comfort Products, Lennox, Nordyne, Rheem, Ruud, Trane, York",13,Yes,Yes,No,No,Yes,C3-34409,42.318419,-72.434385,19.670346101437193,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.036326+00:00,20260326_094831,44dd1d948df80150730077e7f203ffe1,2026-03-25 21:38:45,2026-03-26 10:03:16,0
9,Connecticut Heating and Cooling LLC,1391 Silver Ln,East Hartford,CT,06118,United States,860-770-9088,dean@ctheatandcooling.com,https://www.ctheatandcooling.com,Standard,1,,0,No,No,No,No,Yes,C3-29641,41.7652435,-72.5824171,21.149287553947087,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.036326+00:00,20260326_094831,629675565554c502b8a09ccbf253ac74,2026-03-25 21:38:45,2026-03-26 10:03:16,0
10,Solvit Home Services,65 Farmington Valley Drive,Plainville,CT,06062,United States,877-765-8486,info@solvitnow.com,https://www.solvitnow.com,,0,"Amana, American Standard, Bryant, Carrier, Goodman, Heil, International Comfort Products, Lennox, Mitsubishi, Nordyne, Rheem, Ruud, Trane, WaterFurnace, York",15,Yes,Yes,Yes,Yes,Yes,C3-31966,41.6913746,-72.8615894,28.902905831006066,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.036326+00:00,20260326_094831,cd9e432b3ffbdd4991eb7ca4ffb03b34,2026-03-25 21:38:45,2026-03-26 10:03:16,0
11,Total Mechanical Systems,140 New Britain,Plainville,CT,06062,United States,860-990-1517  1,jay@tmsllc.biz,https://tmscomfort.com,,1,"Bryant, Rheem",2,No,No,No,No,Yes,C3-40746,41.6770686,-72.8485497,29.527767474088513,nate_hvac_certified_contractors,https://natex.org/homeowner/find-a-contractor-with-nate-certified-technicians/,2026-03-26T10:03:16.036326+00:00,20260326_094831,044c8ec4d4cb8bb03102f7edf53b1415,2026-03-25 21:38:45,2026-03-26 10:03:16,0
