id,company_name,address,city,state,zip_code,phone,website,email,nfda_member,green_funeral_cert,pursuit_of_excellence,cremation_society,services_offered,ownership_type,director_name,year_established,listing_url,nfda_profile_id,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
1,A Life Celebration By Franklin-Austin Event Center,510 S Main St,Taylor,,76574-4330,,https://www.alcbf.com/,,Yes,No,No,No,,Independent,,,,4ba4d717-92b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.692901+00:00,20260326_045339,6caecbaa37f2d2ec814bb11f38e9366f,2026-03-26 04:52:30,2026-03-26 04:57:14,0
2,A Natural State Funeral Service,2620 W Main St,Jacksonville,,72076-4216,501-982-3400,http://www.anaturalstatefuneralservice.com,,Yes,No,No,No,,Independent,,,,22850ba5-5e31-e511-9427-2c44fd7bbf5b,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.626903+00:00,20260326_045339,f4f88d6a603c60155952fc10d9e4f189,2026-03-26 04:52:30,2026-03-26 04:57:13,0
3,Adams E E Stringer Funeral Home,111 S Margaret Ave,Kirbyville,,75956-2131,409-423-2221,http://www.adamseestringerfuneralhome.com,,Yes,No,No,No,,Independent,,,,ad0394ba-95b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.636896+00:00,20260326_045339,259e9e62b9745e456fa55bc9493832b0,2026-03-26 04:52:30,2026-03-26 04:57:13,0
4,Adams E E Stringer Funeral Home,34490 US Highway 96 S,Buna,,77612-5913,409-994-3646,,,Yes,No,No,No,,Independent,,,,d37cc726-96b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.637896+00:00,20260326_045339,1d5a6d5992ab59415a1de17a2c6d0063,2026-03-26 04:52:30,2026-03-26 04:57:13,0
5,Adams-Foster Ray Funeral Home,505 NW 5th St,Hamlin,,79520-3007,325-576-2602,http://www.adamsfosterrayfh.com,,Yes,No,No,No,,Independent,,,,48cc9bcc-95b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.700901+00:00,20260326_045339,b439d146f67442e7a942e6c826846f95,2026-03-26 04:52:30,2026-03-26 04:57:14,0
6,Affordable Cremations Plus,7920 W Kellogg Dr Ste 200,Wichita,,67209-2159,316.352-7305,https://www.affordablecremationsplus.com,,Yes,No,No,No,Cremation,Independent,,,,e4c2871f-c2b6-ed11-83fe-000d3a1b982a,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.682902+00:00,20260326_045339,72c5f694afb1c3d4b6c3e83a43d3ae4e,2026-03-26 04:52:30,2026-03-26 04:57:13,0
7,Alameda Mortuary,9420 4th St NW,Albuquerque,,87114-1636,505-898-3160,http://www.danielsfuneral.com,,Yes,No,No,No,,Independent,,,,18682ef8-93b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.707897+00:00,20260326_045339,55f37be39851b6ba1b4299a30f499bfe,2026-03-26 04:52:30,2026-03-26 04:57:14,0
8,Alamo Funeral Home,624 N Alamo St,San Antonio,,78215-1809,210-225-5731,,,Yes,No,No,No,,Independent,,,,97c9cfaf-90b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.692901+00:00,20260326_045339,14181d60d106899e4e1b3015c53b7c65,2026-03-26 04:52:30,2026-03-26 04:57:14,0
9,Alamogordo Funeral Home,2301 1st St,Alamogordo,,88310-3305,575-434-5253,http://www.alamogordofuneralhome.org,,Yes,No,No,No,,Independent,,,,ab1639ae-92b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.707897+00:00,20260326_045339,baa79f6ebaba9150b7f2cd263103900e,2026-03-26 04:52:30,2026-03-26 04:57:14,0
10,Alexander Gray Funeral Home,1302 7th St,Wilson,,73463-1267,580-668-2426,http://www.alexanderfuneralhome.org,,Yes,No,No,No,,Independent,,,,cd4cd55c-96b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.700901+00:00,20260326_045339,ee890a503c73820406dcb35df82be9b1,2026-03-26 04:52:30,2026-03-26 04:57:14,0
11,All Faiths Funeral Services - North Austin,8507 N Interstate 35,Austin,,78753-5722,512-339-8878,http://www.forevernetwork.com,,Yes,No,No,No,,Independent,,,,4f71905b-90b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.692901+00:00,20260326_045339,31f960375c77350d3760ddcaa1b92b43,2026-03-26 04:52:30,2026-03-26 04:57:14,0
12,All Faiths Funeral Services - South Austin,4360 S Congress Ave Ste 115,Austin,,78745-1118,512-326-8878,http://www.allfaithsonline.com,,Yes,No,No,No,,Independent,,,,22f4e757-91b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.692901+00:00,20260326_045339,d3db7dcecde244930c16cfb331fced22,2026-03-26 04:52:30,2026-03-26 04:57:14,0
13,Allen Funeral Home Inc,508 Masters Ave,Wylie,,75098-3603,972-442-2234,http://www.allenfuneral.com,,Yes,No,No,No,,Independent,,,,edcc9bcc-95b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.692901+00:00,20260326_045339,17db2a5e816756104d898ace640f8a21,2026-03-26 04:52:30,2026-03-26 04:57:14,0
14,Allison Funeral Home,1101 N Travis St,Liberty,,77575-3537,936-336-6418,,,Yes,No,No,No,,Independent,,,,674cf52e-97b8-db11-b90e-0050568763a2,nfda_funeral_homes,https://rallocator.nfda.org/,2026-03-26T04:57:13.692901+00:00,20260326_045339,ca3fd7c147574a3229d86bcf973af0b1,2026-03-26 04:52:30,2026-03-26 04:57:14,0
