id,company_name,address,city,state,zip_code,country,phone,email,website,qualitypro_certified,greenpro_certified,certifications,npma_member,state_queried,member_url,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
1,Stark Exterminators,397 West Oxmoor Road,Birmingham,AL,35209,US,12059419882,,http://www.starkexterminators.com,True,False,QualityPro Certified,True,AL,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.254532+00:00,20260326_040945,014d45d24c41cfe52b58df88412acc5f,2026-03-26 04:36:19,2026-03-26 04:36:19,1
2,Presto-X,1225 Hunter Lane,Hartselle,AL,35640,US,12057032748,,https://www.prestox.com/your-local-office/alabama/hartselle/index.html,True,False,QualityPro Certified,True,AL,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.254532+00:00,20260326_040945,c2fc8b2e49bb696f3f8f4b9202e50bb9,2026-03-26 04:36:19,2026-03-26 04:36:19,1
3,Northwest Exterminating,830 Kennesaw Avenue,Marietta,GA,30060,US,17702932700,,http://www.callnorthwest.com,True,False,QualityPro Certified,True,AL,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.254532+00:00,20260326_040945,76de8a9cd2a127d90801b582df0402f9,2026-03-26 04:36:19,2026-03-26 04:36:19,1
4,Active Pest Control,1321 Highway 41,Calhoun,GA,30701,US,17709549941,,http://www.activepestcontrol.com,True,False,QualityPro Certified,True,AL,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.254532+00:00,20260326_040945,647f09f9bf257928bdb938b187acb201,2026-03-26 04:36:19,2026-03-26 04:36:19,1
5,Orkin,106 Birmingham,Birmingham,AL,35244,US,12059814190,,http://www.orkin.com,True,False,QualityPro Certified,True,AL,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.254532+00:00,20260326_040945,df4bf6dfb1889c2131d7dbdb6a276508,2026-03-26 04:36:19,2026-03-26 04:36:19,1
6,Trutech Wildlife Service,155 Woolco Avenue,Marietta,GA,30062,US,18008427296,,https://www.trutechinc.com,True,False,QualityPro Certified,True,AL,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.254532+00:00,20260326_040945,af34affe68b5843eb4085f3b05d25888,2026-03-26 04:36:19,2026-03-26 04:36:19,1
7,Inspire Pest Control LLC,,,AL,,US,,,,False,False,NPMA Member,True,AL,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.254532+00:00,20260326_040945,b1ca64448d758af840d26b8abbe63c21,2026-03-26 04:36:19,2026-03-26 04:36:19,1
8,Stark Exterminators,1714 Greensboro Avenue,Tuscaloosa,AL,35401,US,12057589029,,http://www.dcspestcontrol.com,True,False,QualityPro Certified,True,AL,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.254532+00:00,20260326_040945,b1b62a6995af9c64f18eb9ffd3199988,2026-03-26 04:36:19,2026-03-26 04:36:19,1
9,Orkin,,Huntsville,AL,35816,US,12568371658,,http://www.orkin.com,True,False,QualityPro Certified,True,AL,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.254532+00:00,20260326_040945,4cca7394913f9afbc8986c40492d74a5,2026-03-26 04:36:19,2026-03-26 04:36:19,1
10,Cooks Pest Control,1741 5Th Avenue SE,Decatur,AL,35601,US,,,,False,False,NPMA Member,True,AL,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.254532+00:00,20260326_040945,17ba8a9f0b6191b7a7548240bc38c825,2026-03-26 04:36:19,2026-03-26 04:36:19,1
11,"Cook's Pest Control, Inc.",1741 5th Avenue SE,Decatur,AL,35602-0669,US,18002399898,,http://www.cookspest.com,False,False,NPMA Member,True,AL,,npma_pest_control,https://www.pestworld.org/find-local-exterminators/,2026-03-26T04:36:19.254532+00:00,20260326_040945,33dbfb85893f622486b16d5189c23009,2026-03-26 04:36:19,2026-03-26 04:36:19,1
