id,company_name,address,city,state,zip_code,country,phone,email,website,trade_specialty,services_offered,commercial_residential,emergency_service,phcc_chapter,service_area,membership_type,license_state,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
1,"Cole Plumbing, Inc.",,,AL,,US,(334)279-8919,,http://www.coleplumbing.com,Plumbing,Plumbing,Commercial & Residential,Unknown,AL,Alabama,PHCC Member,Alabama,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.036410+00:00,20260326_103213,98e63f352dc5a2fd6413845b52a9f60b,2026-03-26 10:34:42,2026-03-26 10:34:42,1
2,"Scanlon Plumbing Service, Inc.",,,AL,,US,(334)279-8989,,http://www.scanlonplumbing.com,Plumbing,Plumbing,Commercial & Residential,Unknown,AL,Alabama,PHCC Member,Alabama,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.036410+00:00,20260326_103213,74f978d345bb72121b3740eaf161af2e,2026-03-26 10:34:42,2026-03-26 10:34:42,1
3,"Dr. Comfort, LLC",,,AL,,US,(205)207-1200,,,Plumbing/HVAC,"Plumbing, HVAC",Commercial & Residential,Unknown,AL,Alabama,PHCC Member,Alabama,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.036410+00:00,20260326_103213,b629aca6de8aee805c36f2b4c66c4a5c,2026-03-26 10:34:42,2026-03-26 10:34:42,1
4,"Rick Thomason Plbg., Htg., & Cooling",,,AL,,US,(205)822-0597,,,Cooling & Air,"Heating, Cooling",Commercial & Residential,Unknown,AL,Alabama,PHCC Member,Alabama,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.036410+00:00,20260326_103213,a0ec32d608ba469cddfe70bcad40f855,2026-03-26 10:34:42,2026-03-26 10:34:42,1
5,Sentry Heating-Air-Plumbing and Electrical,,,AL,,US,(205)979-9864,,http://www.sentryheating.com,Plumbing,"Plumbing, Heating",Commercial & Residential,Unknown,AL,Alabama,PHCC Member,Alabama,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.036410+00:00,20260326_103213,dc223e660db4ddc5a33a65275c4bb06a,2026-03-26 10:34:42,2026-03-26 10:34:42,1
6,Turner Plumbing Inc.,,,AL,,US,(205)345-4825,,https://www.turnerplumbinginc.com/,Plumbing,Plumbing,Commercial & Residential,Unknown,AL,Alabama,PHCC Member,Alabama,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.036410+00:00,20260326_103213,e28d5b277033d57bc759d715db1a3f26,2026-03-26 10:34:42,2026-03-26 10:34:42,1
7,Encore Plumbing,,,AL,,US,(256)452-5915,,https://encore-plumbing.com/,Plumbing,Plumbing,Commercial & Residential,Unknown,AL,Alabama,PHCC Member,Alabama,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.036410+00:00,20260326_103213,414410014920b1a46c9ba89819a66bff,2026-03-26 10:34:42,2026-03-26 10:34:42,1
8,"Early Services, Inc.",,,AL,,US,(256)350-7701,,,Plumbing/HVAC,"Plumbing, HVAC",Commercial & Residential,Unknown,AL,Alabama,PHCC Member,Alabama,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.036410+00:00,20260326_103213,d826afe28d2a006899e451093d427036,2026-03-26 10:34:42,2026-03-26 10:34:42,1
9,"Brickley Plumbing & Electric, Inc.",,,AL,,US,(256)259-1911,,,Plumbing,"Plumbing, Electrical",Commercial & Residential,Unknown,AL,Alabama,PHCC Member,Alabama,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.036410+00:00,20260326_103213,71adddc349e800e30ebfff558c9800e5,2026-03-26 10:34:42,2026-03-26 10:34:42,1
10,B&C Plumbing Inc,,,AL,,US,(256)382-0825,,https://bcplumbinghsv.com/,Plumbing,Plumbing,Commercial & Residential,Unknown,AL,Alabama,PHCC Member,Alabama,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.036410+00:00,20260326_103213,18a482138b7e99ec989d44530fcaeea2,2026-03-26 10:34:42,2026-03-26 10:34:42,1
