id,company_name,address,address2,city,state,zip_code,country,phone,intake_phone,hotline,email,website,latitude,longitude,type_facility,type_of_care,service_setting,payment_accepted,special_programs,languages,facility_operation,age_groups_accepted,emergency_services,payment_assistance,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
1,Shalom House,520 North State Street,,Dover,DE,19901,US,302-730-0800,,,,https://findserenity.org,39.1694757,-75.5289665,,"Substance use treatment; Transitional housing, halfway house, or sober home",Residential/24-hour residential; Long-term residential,"Federal, or any government funding for substance use treatment programs","Adult men; Veterans; Active duty military; Members of military families; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients who have experienced sexual abuse; Clients who have experienced intimate partner violence, domestic violence; Clients who have experienced trauma",,Private non-profit organization,Young Adults; Adults,,,samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.051656+00:00,20260326_142037,4e16148c2e850915f497e6b5d00dd824,2026-03-25 18:25:37,2026-03-26 14:22:29,0
2,Shalom House,305 North Governors Avenue,,Dover,DE,19901,US,302-730-0800,,,,https://findserenity.org,39.1652836,-75.529598,,"Substance use treatment; Transitional housing, halfway house, or sober home",Residential/24-hour residential; Long-term residential,"Federal, or any government funding for substance use treatment programs","Adult men; Veterans; Active duty military; Members of military families; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients who have experienced sexual abuse; Clients who have experienced intimate partner violence, domestic violence; Clients who have experienced trauma",,Private non-profit organization,Young Adults; Adults,,,samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.051656+00:00,20260326_142037,83fa36d2951843acca26cd789039e8a7,2026-03-25 18:25:37,2026-03-26 14:22:29,0
3,Mind and Body Consortium,156 South State Street,,Dover,DE,19901,US,302-674-2380 1218,302-674-2380 x1239,,,https://www.mindandbodyde.com,39.1582511,-75.5247129,,Substance use treatment; Mental health treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children,Outpatient,"Medicare; Medicaid; Federal military insurance (e.g., TRICARE); Private health insurance; State corrections or juvenile justice funds; State education agency funds; Cash or self-payment; State-financed health insurance plan other than Medicaid; State mental health agency (or equivalent) funds; State welfare or child and family services funds; U.S. Department of VA funds",Young adults; Seniors or older adults; Veterans; Active duty military; Members of military families; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients with HIV or AIDS; Clients who have experienced trauma; Persons with traumatic brain injury (TBI); Persons with Alzheimer's or dementia; Persons with eating disorders; Persons with post-traumatic stress disorder (PTSD); Children/adolescents with serious emotional disturbance (SED); Persons 18 and older with serious mental illness (SMI),Sign language services for the deaf and hard of hearing; Spanish; Other languages (excluding Spanish),Private for-profit organization,Children/Adolescents; Young Adults; Adults; Seniors,,,samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.051656+00:00,20260326_142037,a2279bc5315cbe5b0400c0e68592a7fe,2026-03-25 18:25:37,2026-03-26 14:22:29,0
4,Serenity Place,327 Martin Street,,Dover,DE,19901,US,302-730-0800,,,,https://findserenity.org,39.156897,-75.510955,,"Substance use treatment; Transitional housing, halfway house, or sober home",Residential/24-hour residential; Long-term residential,"Federal, or any government funding for substance use treatment programs","Adult men; Veterans; Active duty military; Members of military families; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients who have experienced sexual abuse; Clients who have experienced intimate partner violence, domestic violence; Clients who have experienced trauma",,Private non-profit organization,Young Adults; Adults,,,samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.051656+00:00,20260326_142037,8c76d204f7ed692492fa5d2304e85d72,2026-03-25 18:25:37,2026-03-26 14:22:29,0
5,Westside Family Healthcare,1020 Forrest Avenue,,Dover,DE,19904,US,302-678-4622,302-224-6800,,,https://www.westsidehealth.org,39.1585264,-75.5439098,,Substance use treatment; Mental health treatment,Outpatient,"Medicare; Medicaid; Federal military insurance (e.g., TRICARE); Private health insurance; Cash or self-payment; State-financed health insurance plan other than Medicaid",,Spanish,Private non-profit organization,Children/Adolescents; Young Adults; Adults; Seniors,,Sliding fee scale (fee is based on income and other factors),samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.051656+00:00,20260326_142037,100c97a33bfce249e8ca7e736732c941,2026-03-25 18:25:37,2026-03-26 14:22:29,0
6,American Treatment Network - Dover OTP,1206 Forrest Avenue,,Dover,DE,19904,US,877-286-5115,,,,https://americantreatmentnetwork.com,39.1577393,-75.5503602,,Substance use treatment,Outpatient; Intensive outpatient treatment; Outpatient methadone/buprenorphine or naltrexone treatment; Regular outpatient treatment,"Federal, or any government funding for substance use treatment programs; Medicare; Medicaid; Private health insurance; Cash or self-payment; State-financed health insurance plan other than Medicaid; SAMHSA funding/block grants","Young adults; Adult women; Pregnant/postpartum women; Adult men; Seniors or older adults; Veterans; Active duty military; Members of military families; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients with co-occurring pain and substance use disorders; Clients with HIV or AIDS; Clients who have experienced sexual abuse; Clients who have experienced intimate partner violence, domestic violence; Clients who have experienced trauma",Sign language services for the deaf and hard of hearing,Private for-profit organization,Young Adults; Adults,,Payment assistance (check with facility for details); Sliding fee scale (fee is based on income and other factors),samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.051656+00:00,20260326_142037,bc4848aa7fb24dc0b537a85db9049eb8,2026-03-25 18:25:37,2026-03-26 14:22:29,0
7,Dover Comprehensive Treatment Center,429 South New Street,,Dover,DE,19904,US,302-504-8500,,,,https://www.ctcprograms.com/location/dover-comprehensive-treatment-center/,39.1547005,-75.5267308,,Substance use treatment,Outpatient; Outpatient methadone/buprenorphine or naltrexone treatment; Regular outpatient treatment,"Federal, or any government funding for substance use treatment programs; Medicare; Medicaid; Federal military insurance (e.g., TRICARE); Private health insurance; Cash or self-payment","Adult women; Pregnant/postpartum women; Adult men; Seniors or older adults; Veterans; Active duty military; Members of military families; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients with co-occurring pain and substance use disorders; Clients with HIV or AIDS; Clients who have experienced sexual abuse; Clients who have experienced intimate partner violence, domestic violence; Clients who have experienced trauma",Spanish,Private for-profit organization,Young Adults; Adults,,,samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.051656+00:00,20260326_142037,c7be25e4b63457ac5bbd45ab7f2430ff,2026-03-25 18:25:37,2026-03-26 14:22:29,0
8,DSAMH Bridge Clinic,805 River Road,3rd Floor,Dover,DE,19901,US,302-857-5060,,,,https://helpisherede.com,39.1528295,-75.5146467,,Substance use treatment; Mental health treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children,Outpatient,State mental health agency (or equivalent) funds,,,State government,Young Adults; Seniors,Psychiatric emergency onsite services,Payment assistance (check with facility for details),samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.051656+00:00,20260326_142037,35b994cd5d22415dacd2f30c461be7d1,2026-03-25 18:25:37,2026-03-26 14:22:29,0
9,Concerted Care Group Dover LLC,911 South Dupont Highway,,Dover,DE,19901,US,833-224-5483,,,,https://www.concertedcaregroup.com,39.1468502,-75.5154449,,Substance use treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children,Outpatient; Intensive outpatient treatment; Outpatient methadone/buprenorphine or naltrexone treatment; Regular outpatient treatment,Medicare; Medicaid; Private health insurance; Cash or self-payment; State-financed health insurance plan other than Medicaid; SAMHSA funding/block grants,"Young adults; Adult women; Pregnant/postpartum women; Adult men; Seniors or older adults; Veterans; Active duty military; Members of military families; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients with co-occurring pain and substance use disorders; Clients with HIV or AIDS; Clients who have experienced sexual abuse; Clients who have experienced intimate partner violence, domestic violence; Clients who have experienced trauma",,Private for-profit organization,Young Adults; Adults,,,samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.051656+00:00,20260326_142037,50dd88d6cdf0b82360bf86538dbd7245,2026-03-25 18:25:37,2026-03-26 14:22:29,0
10,Coras Wellness and Behavioral Health,1114 South DuPont Highway,,Dover,DE,19901,US,833-886-2277 1,,,,https://www.coraswellness.org,39.1428658,-75.5210348,,Substance use treatment; Mental health treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children,Outpatient,"Medicare; Medicaid; Federal military insurance (e.g., TRICARE); Private health insurance; State corrections or juvenile justice funds; Cash or self-payment; State-financed health insurance plan other than Medicaid; State mental health agency (or equivalent) funds; State welfare or child and family services funds; U.S. Department of VA funds",Seniors or older adults; Veterans; Criminal justice (other than DUI/DWI)/Forensic clients; Clients with co-occurring mental and substance use disorders; Clients with HIV or AIDS; Clients who have experienced trauma; Persons with post-traumatic stress disorder (PTSD),Spanish,Private non-profit organization,Young Adults; Seniors,Psychiatric emergency walk-in services,Payment assistance (check with facility for details); Sliding fee scale (fee is based on income and other factors),samhsa_treatment_facilities,https://findtreatment.gov,2026-03-26T14:22:28.051656+00:00,20260326_142037,08a308878183553ef0007b1956cc4a2a,2026-03-25 18:25:37,2026-03-26 14:22:29,0
