id,company_name,address,city,state,zip_code,country,phone,email,website,crd_number,sec_file_number,sec_region,registration_status,adviser_type,umbrella_registration,has_regulatory_aum,aum_total,aum_discretionary,aum_non_discretionary,num_accounts,total_employees,employees_investment_advisory,has_us_clients,has_non_us_clients,advisory_services,compensation_arrangements,affiliated_broker_dealer,affiliated_banking_institution,affiliated_insurance_company,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
1,BNY MELLON SECURITIES CORPORATION,240 GREENWICH STREET,NEW YORK,NY,10286,United States,,,http://WWW.BNYMELLONIM.COM/US,231,801-54739,NYRO,,Registered,N,Y,"$1,057,242,469","$985,031,054","$72,211,415",2557440,104,278,N,N,Financial planning; Selection of other advisers,% of AUM,Y,N,Y,sec_investment_advisers,https://adviserinfo.sec.gov/,2026-03-26T14:20:36.641243+00:00,20260326_142005,cbcbc9ec833aa228ada485584f21871e,2026-03-25 17:40:01,2026-03-26 14:20:37,0
2,"STIFEL, NICOLAUS & COMPANY, INCORPORATED",501 N BROADWAY,ST LOUIS,MO,63102,United States,,,http://WWW.COATESWEALTHMANAGEMENT.COM/,793,801-10746,CHRO,,Registered,N,Y,"$56,489,151,377","$56,489,151,377",,28284043755,3600,4916,N,N,Financial planning; Portfolio mgmt - businesses; Selection of other advisers; Market timing,% of AUM,Y,N,Y,sec_investment_advisers,https://adviserinfo.sec.gov/,2026-03-26T14:20:36.641243+00:00,20260326_142005,896c59ae026d195a3f583458109389ba,2026-03-25 17:40:01,2026-03-26 14:20:37,0
3,"SMITH, BROWN & GROOVER INC. D/B/A SBG WEALTH MANAGEMENT",4001 VINEVILLE AVE,MACON,GA,31210-5039,United States,,,http://SBGWEALTH.COM,1329,801-117531,ARO,,Registered,N,N,,,,,6,11,N,N,Financial planning; Selection of other advisers,% of AUM,N,N,N,sec_investment_advisers,https://adviserinfo.sec.gov/,2026-03-26T14:20:36.641243+00:00,20260326_142005,12b6675e4c8965d77e2cbc10a08580a8,2026-03-25 17:40:01,2026-03-26 14:20:37,0
4,GILDER GAGNON HOWE & CO. LLC,475 TENTH AVENUE,NEW YORK,NY,10018-1120,United States,,,https://WWW.LINKEDIN.COM/COMPANY/GILDER-GAGNON-HOWE,2002,801-65667,NYRO,,Registered,N,Y,,,,1035181634,39,58,Y,Y,Financial planning,% of AUM,N,N,N,sec_investment_advisers,https://adviserinfo.sec.gov/,2026-03-26T14:20:36.641243+00:00,20260326_142005,c9ea2a475d932ff59d426792d4adc7f7,2026-03-25 17:40:01,2026-03-26 14:20:37,0
5,"R. F. LAFFERTY & CO., INC.",40 WALL STREET,NEW YORK,NY,10005,United States,,,http://WWW.RFLAFFERTY.COM,2498,801-107428,NYRO,,Registered,N,N,,,,,7,60,N,N,Financial planning; Selection of other advisers,% of AUM,N,N,N,sec_investment_advisers,https://adviserinfo.sec.gov/,2026-03-26T14:20:36.641243+00:00,20260326_142005,63f40925cf3f148c4101f24971eaf0c0,2026-03-25 17:40:01,2026-03-26 14:20:37,0
6,NEUBERGER BERMAN BD LLC,1290 AVENUE OF THE AMERICAS,NEW YORK,NY,10104,United States,,,http://WWW.NB.COM,2908,801-3908,NYRO,,Registered,N,N,,,,,509,835,N,N,Financial planning; Portfolio mgmt - businesses,,Y,N,Y,sec_investment_advisers,https://adviserinfo.sec.gov/,2026-03-26T14:20:36.641243+00:00,20260326_142005,1e28228c8eb9a33ee2f9a3f3b3132c72,2026-03-25 17:40:01,2026-03-26 14:20:37,0
7,"TRUBEE, COLLINS & CO., INC.",1350 ONE M & T PLAZA,BUFFALO,NY,14203,United States,,,,3618,801-70259,NYRO,,Registered,N,N,,,,,14,16,N,N,Financial planning; Selection of other advisers,% of AUM,N,N,N,sec_investment_advisers,https://adviserinfo.sec.gov/,2026-03-26T14:20:36.641243+00:00,20260326_142005,7e319a4323ba46822a5e0f8312b1f12a,2026-03-25 17:40:01,2026-03-26 14:20:37,0
8,"VOYA RETIREMENT ADVISORS, LLC",ONE ORANGE WAY,WINDSOR,CT,6095,United States,,,,3989,801-57963,BRO,,Registered,N,N,,,,,44,43,N,N,,% of AUM,Y,N,Y,sec_investment_advisers,https://adviserinfo.sec.gov/,2026-03-26T14:20:36.641243+00:00,20260326_142005,4b3276d8f22ac31f9bc287545ddad244,2026-03-25 17:40:01,2026-03-26 14:20:37,0
9,AMERICAN RESEARCH & MANAGEMENT CO,145 FRONT STREET,MARION,MA,2738,United States,,,http://WWW.ARM-CO.COM/,6080,801-14979,BRO,,Registered,N,N,,,,,8,,N,N,,% of AUM,N,N,N,sec_investment_advisers,https://adviserinfo.sec.gov/,2026-03-26T14:20:36.641243+00:00,20260326_142005,aef5dd030c2707160bebf4b57d0ae082,2026-03-25 17:40:01,2026-03-26 14:20:37,0
10,WINDSOR SECURITIES INC,25 EAST ATHENS AVENUE,ARDMORE,PA,19003,United States,,,http://WWW.WINDSORSECURITIES.COM,6415,801-11280,PLRO,,Registered,N,N,,,,,1,,N,N,Selection of other advisers,% of AUM,N,N,Y,sec_investment_advisers,https://adviserinfo.sec.gov/,2026-03-26T14:20:36.641243+00:00,20260326_142005,6c024d4b198c6d6ebf2e7b290286b991,2026-03-25 17:40:01,2026-03-26 14:20:37,0
